# Data format: "%int(Month)/%int(Day)/%int(Year) %int(Hours):%int(Minutes):%float(Seconds) %float(StepIndex),%float(StepHeading),%float(StepDistanceX),%float(StepDistanceY),%float(StepDistance),%float(StepTime),%float(StepAmplitude),%float(StepDutyCucle),%float(StepRatio),%float(Altitude),%float(Confidence),%float(AltitudeOffset) %int(BatteryLevel) %float(RawGyroX),%float(RawGyroY),%float(RawGyroZ) %float(RawAccelX),%float(RawAccelY),%float(RawAccelZ) %float(RawCompassX),%float(RawCompassY),%float(RawCompassZ) %float(CorrectedGyroX),%float(CorrectedGyroY),%float(CorrectedGyroZ) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ) %float(CorrectedCompassX),%float(CorrectedCompassY),%float(CorrectedCompassZ) %float(LinearAccelX),%float(LinearAccelY),%float(LinearAccelZ)"
06/17/24 13:24:14.530745 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 0.30022,0.18950,-0.26935 -0.03394,-0.15436,1.17169 -0.02400,-0.08850,-0.44250 0.30022,0.18950,-0.26935 -0.03394,-0.15436,1.17169 -0.02377,-0.08821,-0.44241 -0.07465,0.16825,-0.16569
06/17/24 13:24:14.574387 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 0.20441,0.07985,-0.42798 0.04614,-0.12189,1.03046 -0.02700,-0.07650,-0.45000 0.20441,0.07985,-0.42798 0.04614,-0.12189,1.03046 -0.02740,-0.07719,-0.45005 0.00209,0.03276,-0.11057
06/17/24 13:24:14.618784 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 -1.21047,-0.05536,0.26083 -0.07092,-0.74573,1.59882 -0.02550,-0.07500,-0.44550 -1.21047,-0.05536,0.26083 -0.07092,-0.74573,1.59882 -0.02546,-0.07868,-0.44477 -0.35482,0.71821,0.19802
06/17/24 13:24:14.663033 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 0.69413,0.32577,0.74949 0.15692,-0.83820,0.80054 -0.02550,-0.06750,-0.44250 0.69413,0.32577,0.74949 0.15692,-0.83820,0.80054 -0.02599,-0.06757,-0.44302 -0.17800,-0.01054,0.59777
06/17/24 13:24:14.706904 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 0.41840,-0.20547,-0.49292 0.64081,-0.33215,0.30133 -0.02250,-0.07650,-0.43350 0.41840,-0.20547,-0.49292 0.64081,-0.33215,0.30133 -0.02217,-0.07343,-0.43472 0.45010,-0.56923,0.47288
06/17/24 13:24:14.751641 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 -0.48547,-0.20015,-0.32790 -0.20215,-0.51099,0.87860 -0.02850,-0.06450,-0.44250 -0.48547,-0.20015,-0.32790 -0.20215,-0.51099,0.87860 -0.02722,-0.06547,-0.44194 -0.39875,-0.05087,0.11858
06/17/24 13:24:14.795386 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 -0.17886,-0.67710,0.81869 -0.31165,-0.47839,1.13379 -0.02550,-0.06450,-0.43950 -0.17886,-0.67710,0.81869 -0.31165,-0.47839,1.13379 -0.02518,-0.06452,-0.43901 -0.48326,0.17310,-0.04205
06/17/24 13:24:14.839772 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 0.04258,-0.79846,0.81443 0.28607,-0.35468,0.75885 -0.03450,-0.07200,-0.44250 0.04258,-0.79846,0.81443 0.28607,-0.35468,0.75885 -0.03444,-0.07029,-0.44315 0.10976,-0.14081,0.18230
06/17/24 13:24:14.884061 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 0.02768,-0.61748,0.55680 0.31018,-0.27942,0.73108 -0.05400,-0.06750,-0.44400 0.02768,-0.61748,0.55680 0.31018,-0.27942,0.73108 -0.05145,-0.06772,-0.44507 0.14639,-0.17922,0.11684
06/17/24 13:24:14.927927 99.00000,170.44000,-0.74550,0.12556,0.75600,0.34500,0.01500,1.09200,0.94800,177.40381,42.53000,-1.64958 92 -0.00745,-0.43862,0.57064 0.26709,-0.28644,0.81403 -0.06000,-0.07050,-0.45150 -0.00745,-0.43862,0.57064 0.26709,-0.28644,0.81403 -0.05386,-0.06876,-0.44763 0.08760,-0.10371,0.07075
