# Data format: "%int(Month)/%int(Day)/%int(Year) %int(Hours):%int(Minutes):%float(Seconds) %float(StepIndex),%float(StepHeading),%float(StepDistanceX),%float(StepDistanceY),%float(StepDistance),%float(StepTime),%float(StepAmplitude),%float(StepDutyCucle),%float(StepRatio),%float(Altitude),%float(Confidence),%float(AltitudeOffset) %int(BatteryLevel) %float(RawGyroX),%float(RawGyroY),%float(RawGyroZ) %float(RawAccelX),%float(RawAccelY),%float(RawAccelZ) %float(RawCompassX),%float(RawCompassY),%float(RawCompassZ) %float(CorrectedGyroX),%float(CorrectedGyroY),%float(CorrectedGyroZ) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ) %float(CorrectedCompassX),%float(CorrectedCompassY),%float(CorrectedCompassZ) %float(LinearAccelX),%float(LinearAccelY),%float(LinearAccelZ)"
06/13/24 12:33:11.911867 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 0.00639,0.00639,-0.04684 0.14655,-0.24158,0.94055 0.13950,0.30450,-0.38850 0.00639,0.00639,-0.04684 0.14655,-0.24158,0.94055 0.13899,0.30616,-0.38758 0.00103,-0.03125,-0.16121
06/13/24 12:33:11.955818 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 -0.01065,-0.00213,-0.06707 0.13861,-0.24042,0.94147 0.13950,0.30900,-0.39450 -0.01065,-0.00213,-0.06707 0.13861,-0.24042,0.94147 0.14094,0.30741,-0.39078 0.00697,-0.03282,-0.16699
06/13/24 12:33:11.994083 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 -0.01278,0.01703,-0.08517 0.14020,-0.24585,0.95251 0.14250,0.30450,-0.39150 -0.01278,0.01703,-0.08517 0.14020,-0.24585,0.95251 0.14209,0.30746,-0.39134 0.00567,-0.02123,-0.17137
06/13/24 12:33:12.038054 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 0.00639,0.02768,-0.08836 0.13043,-0.23456,0.95642 0.13950,0.31050,-0.39300 0.00639,0.02768,-0.08836 0.13043,-0.23456,0.95642 0.14047,0.30987,-0.39224 0.02112,-0.02181,-0.17169
06/13/24 12:33:12.076834 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 -0.00106,0.03194,-0.07452 0.12683,-0.24530,0.95850 0.14250,0.31650,-0.39000 -0.00106,0.03194,-0.07452 0.12683,-0.24530,0.95850 0.14079,0.31200,-0.39377 0.01634,-0.01947,-0.18240
06/13/24 12:33:12.120282 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 0.02023,0.00745,-0.08198 0.11780,-0.23065,0.94537 0.14100,0.30750,-0.38850 0.02023,0.00745,-0.08198 0.11780,-0.23065,0.94537 0.14333,0.31016,-0.38925 0.02748,-0.03647,-0.17793
06/13/24 12:33:12.159051 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 -0.00532,0.00319,-0.05323 0.12018,-0.24939,0.95563 0.14700,0.31200,-0.39000 -0.00532,0.00319,-0.05323 0.12018,-0.24939,0.95563 0.14361,0.31075,-0.39183 0.01543,-0.02372,-0.19104
06/13/24 12:33:12.202492 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 0.01597,-0.00319,-0.00745 0.12103,-0.24646,0.95416 0.14250,0.31350,-0.39150 0.01597,-0.00319,-0.00745 0.12103,-0.24646,0.95416 0.14414,0.31211,-0.38941 0.01601,-0.02531,-0.18853
06/13/24 12:33:12.241239 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 0.00106,-0.00426,-0.01490 0.12866,-0.23145,0.94891 0.13500,0.31050,-0.38700 0.00106,-0.00426,-0.01490 0.12866,-0.23145,0.94891 0.13798,0.31139,-0.38911 0.01977,-0.03020,-0.17223
06/13/24 12:33:12.280000 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 0.02342,0.02449,-0.00852 0.13116,-0.24261,0.94940 0.14550,0.30750,-0.39000 0.02342,0.02449,-0.00852 0.13116,-0.24261,0.94940 0.14302,0.30938,-0.38917 0.00979,-0.02765,-0.17853
