# Data format: "%int(Month)/%int(Day)/%int(Year) %int(Hours):%int(Minutes):%float(Seconds) %float(StepIndex),%float(StepHeading),%float(StepDistanceX),%float(StepDistanceY),%float(StepDistance),%float(StepTime),%float(StepAmplitude),%float(StepDutyCucle),%float(StepRatio),%float(Altitude),%float(Confidence),%float(AltitudeOffset) %int(BatteryLevel) %float(RawGyroX),%float(RawGyroY),%float(RawGyroZ) %float(RawAccelX),%float(RawAccelY),%float(RawAccelZ) %float(RawCompassX),%float(RawCompassY),%float(RawCompassZ) %float(CorrectedGyroX),%float(CorrectedGyroY),%float(CorrectedGyroZ) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ) %float(CorrectedCompassX),%float(CorrectedCompassY),%float(CorrectedCompassZ) %float(LinearAccelX),%float(LinearAccelY),%float(LinearAccelZ)"
06/13/24 12:20:42.294075 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 1.06249,-0.62387,-1.48940 0.36389,0.21796,0.78949 -0.30300,-0.10950,-0.21000 1.06249,-0.62387,-1.48940 0.36389,0.21796,0.78949 -0.26692,-0.11328,-0.23442 0.01715,-0.19884,-0.40133
06/13/24 12:20:42.307793 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 1.56393,-1.10295,-1.18386 0.36145,0.27917,0.95947 -0.30450,-0.11850,-0.20400 1.56393,-1.10295,-1.18386 0.36145,0.27917,0.95947 -0.29921,-0.11550,-0.20995 -0.10671,0.05306,-0.09408
06/13/24 12:20:42.346455 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 1.91099,-0.71542,-1.04439 0.46729,0.38434,0.72260 -0.29100,-0.13200,-0.17850 1.91099,-0.71542,-1.04439 0.46729,0.38434,0.72260 -0.29113,-0.13146,-0.18002 0.05463,-0.07896,-0.19215
06/13/24 12:20:42.390587 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 3.62716,-1.47450,-2.89470 0.47809,0.29315,0.92432 -0.26250,-0.17550,-0.12000 3.62716,-1.47450,-2.89470 0.47809,0.29315,0.92432 -0.26605,-0.17003,-0.12907 -0.01112,0.07397,0.12378
06/13/24 12:20:42.429470 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 1.25944,-0.57383,-1.31800 0.46344,0.72961,0.67822 -0.23250,-0.21450,-0.06750 1.25944,-0.57383,-1.31800 0.46344,0.72961,0.67822 -0.23572,-0.21020,-0.07166 0.01965,0.06702,-0.26111
06/13/24 12:20:42.473408 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 1.69487,-0.86660,-1.49047 0.29419,0.47205,0.75208 -0.20700,-0.22350,-0.04500 1.69487,-0.86660,-1.49047 0.29419,0.47205,0.75208 -0.21070,-0.22278,-0.04836 -0.13420,-0.07629,0.06122
06/13/24 12:20:42.512653 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 0.52912,-0.63664,-1.80666 0.38019,0.65839,0.44678 -0.18000,-0.22950,-0.02550 0.52912,-0.63664,-1.80666 0.38019,0.65839,0.44678 -0.18400,-0.22975,-0.02632 0.08013,-0.14063,-0.18080
06/13/24 12:20:42.553120 0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000 100 0.23954,-0.76440,-2.11327 0.48401,0.73834,0.67712 -0.15150,-0.25200,-0.00150 0.23954,-0.76440,-2.11327 0.48401,0.73834,0.67712 -0.15547,-0.24701,-0.00260 0.08235,0.10876,-0.04219
