# Data format: "%int(Month)/%int(Day)/%int(Year) %int(Hours):%int(Minutes):%float(Seconds) %float(StepIndex),%float(StepHeading),%float(StepDistanceX),%float(StepDistanceY),%float(StepDistance),%float(StepTime),%float(StepAmplitude),%float(StepDutyCucle),%float(StepRatio),%float(Altitude),%float(Confidence),%float(AltitudeOffset) %int(BatteryLevel) %float(RawGyroX),%float(RawGyroY),%float(RawGyroZ) %float(RawAccelX),%float(RawAccelY),%float(RawAccelZ) %float(RawCompassX),%float(RawCompassY),%float(RawCompassZ) %float(CorrectedGyroX),%float(CorrectedGyroY),%float(CorrectedGyroZ) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ) %float(CorrectedCompassX),%float(CorrectedCompassY),%float(CorrectedCompassZ) %float(LinearAccelX),%float(LinearAccelY),%float(LinearAccelZ)"
06/24/24 13:44:22.224012 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 0.09156,-0.18418,0.08730 -0.10425,-0.16534,0.90387 0.13500,0.21900,-0.47850 0.09156,-0.18418,0.08730 -0.10425,-0.16534,0.90387 0.13560,0.21963,-0.47859 -0.07393,-0.08133,-0.07599
06/24/24 13:44:22.268227 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 0.04365,-0.06175,-0.05323 -0.17706,-0.19995,0.94513 0.14100,0.21750,-0.48300 0.04365,-0.06175,-0.05323 -0.17706,-0.19995,0.94513 0.13822,0.21555,-0.48223 -0.01093,-0.02644,-0.12912
06/24/24 13:44:22.312038 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 0.00639,-0.02023,-0.11179 -0.16547,-0.16333,0.93744 0.13800,0.21900,-0.48600 0.00639,-0.02023,-0.11179 -0.16547,-0.16333,0.93744 0.13889,0.21622,-0.48236 -0.00835,-0.03878,-0.09401
06/24/24 13:44:22.356228 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 0.10646,0.13095,-0.22570 -0.12439,-0.17944,0.99402 0.12900,0.22050,-0.47850 0.10646,0.13095,-0.22570 -0.12439,-0.17944,0.99402 0.13157,0.21949,-0.47947 -0.05996,0.01161,-0.09374
06/24/24 13:44:22.399895 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 0.11072,0.13947,-0.32045 -0.11066,-0.13135,0.93036 0.13650,0.22200,-0.48450 0.11072,0.13947,-0.32045 -0.11066,-0.13135,0.93036 0.13469,0.22405,-0.48213 -0.04890,-0.05698,-0.05826
06/24/24 13:44:22.444279 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 0.10859,0.20867,-0.47376 -0.12610,-0.09271,0.91162 0.13500,0.23100,-0.47850 0.10859,0.20867,-0.47376 -0.12610,-0.09271,0.91162 0.13485,0.22418,-0.48138 -0.02493,-0.07586,-0.03000
06/24/24 13:44:22.488506 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 -0.01278,0.14266,-0.56957 -0.08899,-0.14703,0.94470 0.12300,0.22500,-0.48300 -0.01278,0.14266,-0.56957 -0.08899,-0.14703,0.94470 0.12412,0.22523,-0.48283 -0.07587,-0.04554,-0.07245
06/24/24 13:44:22.532326 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 0.01065,0.06068,-0.61641 -0.14624,-0.13983,0.93878 0.12000,0.23550,-0.48150 0.01065,0.06068,-0.61641 -0.14624,-0.13983,0.93878 0.12650,0.23153,-0.48369 -0.01074,-0.04277,-0.07641
06/24/24 13:44:22.576555 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 0.06814,-0.03726,-0.63025 -0.14264,-0.10400,0.92035 0.11250,0.24450,-0.47700 0.06814,-0.03726,-0.63025 -0.14264,-0.10400,0.92035 0.12573,0.23262,-0.48329 0.00092,-0.06379,-0.04139
06/24/24 13:44:22.620779 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 0.00639,-0.01597,-0.55254 -0.14124,-0.05304,0.91840 0.10350,0.25350,-0.48150 0.00639,-0.01597,-0.55254 -0.14124,-0.05304,0.91840 0.12422,0.23397,-0.48310 0.01271,-0.06943,0.00916
